date,station_id,station_name,season,total_population,occupancy_percent,scientists,engineers,technicians,logistics,medical,visitors,weather_type,temperature_c,wind_speed_kmh,wind_gust_kmh,humidity_percent,pressure_hpa,snowfall_cm,snow_depth_cm,visibility_m,solar_radiation_wm2,solar_daylight_hours,solar_elevation_deg,weather_severity,accommodation_load_kw,laboratory_load_kw,kitchen_load_kw,heating_load_kw,water_plant_load_kw,communication_load_kw,lighting_load_kw,emergency_load_kw,total_load_kw,solar_generation_kw,battery_soc_percent,battery_charge_kw,battery_discharge_kw,generator_status,active_generators,generator_output_kw,generator_runtime_hours,power_margin_kw,renewable_share_percent,overload_flag,load_shedding_kwh,power_shortage_event,daily_load_energy_kwh,solar_energy_kwh,solar_to_load_kwh,battery_to_load_kwh,generator_energy_kwh,unserved_energy_kwh,fuel_stock_liters,fuel_consumed_today_liters,fuel_days_remaining,fuel_status,fuel_efficiency_l_per_kwh,refuel_event,refuel_quantity_liters,fuel_shipment_status,fuel_shipments_pending,fuel_eta_days,fuel_received_today_liters,fuel_shortage_event,fuel_shipment_created_today,fuel_shipment_delayed_today,fuel_delivery_days,chp_waste_heat_kw,daily_water_consumption_liters,daily_water_production_liters,water_storage_liters,water_balance_liters,water_days_remaining,water_status,water_quality_index,snow_melting_plant_status,water_refill_event,water_shortage_event,water_emergency,water_plant_utilisation_percent,inventory_health_score,critical_items,low_items,delayed_shipments,expired_items,inventory_orders_pending,inventory_eta_days,inventory_batch_count,expired_quantity,received_today,inventory_shortage_items,inventory_orders_created_today,connectivity_status,bandwidth_mbps,latency_ms,packet_loss_percent,sync_mode,buffered_data_mb,offline_duration_days,signal_quality_percent,buffer_uploaded_today_mb,communication_outage_event,power_risk,fuel_risk,inventory_risk,weather_risk,water_risk,connectivity_risk,occupancy_risk,overall_risk_score,overall_risk_level,top_risk_factor,top_risk_reason,risk_score,risk_level,station_health,risk_breakdown
2003-01-01,BHARATI,Bharati,SUMMER,39,82.98,14,9,8,5,2,1,NORMAL,-4.94,25.41,34.13,74.25,983.66,1.05,15.92,4434.69,448.25,24.0,43.6,20.24,41.25,44.85,19.65,22.83,17.75,6.55,4.8,4.0,161.68,13.45,74.69,0.0,32.05,NORMAL,3,178.45,18.0,241.55,8.84,False,0.0,False,3650.02,322.74,322.74,769.12,3212.06,0.0,283999.75,1000.25,283.9,GOOD,0.31,False,0.0,Planned,1,71,0.0,False,True,False,-1,164.76,2281.5,6931.85,150000.0,4650.35,65.7,GOOD,96.78,RUNNING,False,False,False,99.03,100.0,0,0,0,0,1,180,28,0.0,0.0,0,1,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,11.13,0.0,0.0,0.0,4.31,LOW,fuel,fuel shipment pending; long delivery ETA (>60 days),4.31,LOW,95.69,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 11.13, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-01,MAITRI,Maitri,SUMMER,39,82.98,14,9,8,5,2,1,NORMAL,-8.44,34.64,43.36,56.25,983.66,0.59,5.42,4434.69,412.38,24.0,42.24,23.8,41.25,44.85,19.65,40.55,17.75,6.55,4.8,4.0,179.4,7.73,74.77,0.0,25.88,NORMAL,3,200.24,19.0,149.76,4.55,False,0.0,False,4075.3,185.57,185.57,621.0,3804.5,0.0,268968.27,1031.73,260.7,GOOD,0.27,False,0.0,Planned,1,76,0.0,False,True,False,-1,149.36,2281.5,3084.0,120000.0,802.5,52.6,GOOD,97.04,RUNNING,False,False,False,61.68,100.0,0,0,0,0,1,180,28,0.0,0.0,0,1,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,13.09,0.0,0.0,0.0,4.51,LOW,fuel,fuel shipment pending; long delivery ETA (>60 days),4.51,LOW,95.49,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 13.09, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-02,BHARATI,Bharati,SUMMER,41,87.23,15,10,8,5,2,1,NORMAL,-3.94,8.03,37.28,76.47,988.29,1.57,17.45,5465.89,450.54,24.0,43.52,13.25,42.75,47.15,20.35,8.0,18.25,6.64,5.49,4.0,152.63,13.52,74.77,0.0,23.06,NORMAL,2,168.39,19.0,251.61,9.48,False,0.0,False,3422.42,324.39,324.39,553.46,3199.4,0.0,283004.93,994.82,284.5,GOOD,0.31,False,0.0,Planned,1,70,0.0,False,False,False,-1,155.13,2398.5,7032.3,150000.0,4633.8,62.5,GOOD,97.95,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,179,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,7.29,0.0,0.0,0.0,3.93,LOW,fuel,fuel shipment pending; long delivery ETA (>60 days),3.93,LOW,96.07,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 7.29, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-02,MAITRI,Maitri,SUMMER,41,87.23,15,10,8,5,2,1,NORMAL,-9.68,23.53,46.62,60.95,992.75,0.41,5.71,4394.0,412.11,24.0,42.16,20.6,42.75,47.15,20.35,8.0,18.25,6.64,5.49,4.0,152.63,7.73,74.83,0.0,18.9,NORMAL,3,165.99,20.0,184.01,5.42,False,0.0,False,3422.42,185.45,185.45,453.5,3319.81,0.0,267934.63,1033.64,259.2,GOOD,0.31,False,0.0,Planned,1,75,0.0,False,False,False,-1,153.22,2398.5,3142.0,120000.0,743.5,50.0,GOOD,97.33,RUNNING,False,False,False,62.84,100.0,0,0,0,0,1,179,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,11.33,0.0,0.0,0.0,4.33,LOW,fuel,fuel shipment pending; long delivery ETA (>60 days),4.33,LOW,95.67,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 11.33, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-03,BHARATI,Bharati,SUMMER,41,87.23,15,10,8,5,2,1,HIGH_WIND,-4.23,74.82,89.25,78.52,983.68,1.58,18.66,1596.3,322.92,24.0,43.43,42.03,42.75,47.15,20.35,8.0,18.25,8.33,5.35,4.0,154.18,9.69,74.77,0.0,23.09,NORMAL,3,175.14,19.0,244.86,6.72,False,0.0,False,3459.62,232.5,232.51,554.27,3327.67,0.0,281968.86,1036.07,272.2,GOOD,0.31,False,0.0,Planned,1,69,0.0,False,False,False,-1,161.66,2398.5,6955.08,150000.0,4556.58,62.5,GOOD,95.81,RUNNING,False,False,False,99.36,100.0,0,0,0,0,1,178,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,16.0,0.0,23.12,0.0,0.0,0.0,5.51,LOW,weather,weather within operating envelope,5.51,LOW,94.49,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 23.12, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-03,MAITRI,Maitri,SUMMER,41,87.23,15,10,8,5,2,1,CLEAR,-9.25,27.21,41.64,56.0,996.48,0.0,5.57,8224.7,557.66,24.0,42.07,13.52,42.75,47.15,20.35,8.0,18.25,7.63,5.58,4.0,153.71,10.46,74.83,0.0,18.92,NORMAL,3,163.99,20.0,186.01,7.28,False,0.0,False,3448.34,250.95,250.95,453.99,3279.74,0.0,266913.39,1021.24,261.4,GOOD,0.31,False,0.0,Planned,1,74,0.0,False,False,False,-1,151.39,2398.5,3114.0,120000.0,715.5,50.0,GOOD,97.28,RUNNING,False,False,False,62.28,100.0,0,0,0,0,1,178,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,16.0,0.0,7.44,0.0,0.0,0.0,3.94,LOW,fuel,fuel shipment pending; long delivery ETA (>60 days),3.94,LOW,96.06,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 7.44, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-04,BHARATI,Bharati,SUMMER,43,91.49,15,10,9,5,2,2,HIGH_WIND,-5.03,22.96,42.19,78.37,979.87,2.98,21.53,2654.3,326.4,24.0,43.33,25.06,44.25,49.45,21.05,8.0,18.75,6.52,5.58,4.0,157.6,9.79,74.77,0.0,23.09,NORMAL,3,178.78,19.0,241.22,6.66,False,0.0,False,3531.31,235.01,235.01,554.27,3396.85,0.0,280911.35,1057.51,265.6,GOOD,0.31,False,0.0,Planned,1,68,0.0,False,False,False,-1,165.0,2515.5,7000.0,150000.0,4484.5,59.6,GOOD,96.96,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,177,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,16.0,0.0,13.78,0.0,0.0,22.0,6.78,LOW,occupancy,high occupancy (>90%),6.78,LOW,93.22,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 13.78, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-04,MAITRI,Maitri,SUMMER,43,91.49,15,10,9,5,2,2,CLEAR,-6.88,8.35,27.58,51.66,997.26,0.0,5.53,10693.37,556.21,24.0,41.97,3.25,44.25,49.45,21.05,8.0,18.75,6.52,5.58,4.0,157.6,10.43,74.83,0.0,18.92,NORMAL,3,168.17,20.0,181.83,7.09,False,0.0,False,3531.31,250.29,250.3,453.99,3363.36,0.0,265866.24,1047.15,253.9,GOOD,0.31,False,0.0,Planned,1,73,0.0,False,False,False,-1,155.22,2515.5,3106.0,120000.0,590.5,47.7,GOOD,96.96,RUNNING,False,False,False,62.12,100.0,0,0,0,0,1,177,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,16.0,0.0,1.79,0.0,0.0,22.0,5.58,LOW,occupancy,high occupancy (>90%),5.58,LOW,94.42,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 1.79, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-05,BHARATI,Bharati,SUMMER,43,91.49,15,10,9,5,2,2,NORMAL,-5.13,27.02,57.32,78.16,986.66,0.05,21.44,5620.78,455.65,24.0,43.23,17.37,44.25,49.45,21.05,8.0,18.75,8.26,5.92,4.0,159.68,13.67,74.77,0.0,23.09,NORMAL,3,176.51,19.0,243.49,9.16,False,0.0,False,3581.23,328.07,328.06,554.27,3353.72,0.0,279867.21,1044.14,268.0,GOOD,0.31,False,0.0,Planned,1,67,0.0,False,False,False,-1,162.92,2515.5,7000.0,150000.0,4484.5,59.6,GOOD,97.56,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,176,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,9.55,0.0,0.0,22.0,6.36,LOW,occupancy,high occupancy (>90%),6.36,LOW,93.64,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 9.55, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-05,MAITRI,Maitri,SUMMER,43,91.49,15,10,9,5,2,2,NORMAL,-7.55,36.84,67.14,54.93,996.23,0.03,5.38,5620.78,408.47,24.0,41.87,21.24,44.25,49.45,21.05,8.0,18.75,8.26,5.92,4.0,159.68,7.66,74.83,0.0,18.92,NORMAL,3,173.99,20.0,176.01,5.13,False,0.0,False,3581.23,183.81,183.82,453.99,3479.76,0.0,264783.0,1083.24,244.4,GOOD,0.31,False,0.0,Planned,1,72,0.0,False,False,False,-1,160.56,2515.5,3076.0,120000.0,560.5,47.7,GOOD,97.56,RUNNING,False,False,False,61.52,100.0,0,0,0,0,1,176,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,16.0,0.0,11.68,0.0,0.0,22.0,6.57,LOW,occupancy,high occupancy (>90%),6.57,LOW,93.43,"{'power': 0.0, 'fuel': 16.0, 'inventory': 0.0, 'weather': 11.68, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
